,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb,Ancho,Alto Off,Alto On,S_on,S_off
0.0924300820496,0.022601884569799998,0.487125550259,0.0510845186104,9.08715215079,0.022601884569799998,0.022601884569799998,0.1957073023,51.1884426072,0.101101101101,0.8308811286229999,0.664372932162,0.198198198198,0.0970970970971
0.0020155304650899997,0.07198971492539999,0.394093328778,0.518251905505,0.14266391319,0.07198971492539999,0.07198971492539999,25.452531166999997,5.155242619619999,0.002002002002,0.718841785084,0.646522991203,0.015015015015,0.013013013012999999
0.014366059450000001,0.0361335724021,0.350337139499,0.130563505454,2.50406960768,0.0361335724021,0.0361335724021,1.46701117965,61.561474330299994,0.016016016016,0.7806792154000001,0.829800725099,0.046046046046,0.03003003003
0.0800093598525,0.019164254809299997,0.450594214293,0.0367268662396,0.9309090139630001,0.019164254809299997,0.019164254809299997,0.194161718836,3.2379042924,0.0890890890891,0.7613731071690001,0.5578791162110001,0.17717717717700002,0.08808808808810001
0.00651490241032,0.044907035215300005,0.8365646457629999,0.20166418118299997,1.8067755363,0.044907035215300005,0.044907035215300005,3.1801256072500004,92.0564485564,0.00700700700701,0.66965357338,0.47664925883599996,0.031031031031,0.024024024024
0.00640622870559,0.0728326111725,0.883185744914,0.530458925021,14.4847691113,0.0728326111725,0.0728326111725,1.9921918560900003,25.6023905165,0.012012012012,0.523015949273,0.410595774361,0.22822822822799999,0.21621621621599998
0.004883155169100001,0.0427402561053,0.0380624244881,0.18267294919500002,2.09946143836,0.0427402561053,0.0427402561053,10.855690548699998,54.2173972829,0.005005005005,0.8445349629860001,0.7234409907449999,0.014014014014,0.00900900900901
0.005740860331249999,0.037603042451999996,0.145223762901,0.141398880165,0.160553123021,0.037603042451999996,0.037603042451999996,7.99160692858,4.93088399964,0.00600600600601,0.8291017775239999,0.6988616326129999,0.015015015015,0.00900900900901
0.0150005350831,0.06843899222989999,0.0654088488066,0.468389565744,0.705884980154,0.06843899222989999,0.06843899222989999,0.0662769220473,0.6739485055500001,0.037037037037,0.302267805629,0.336671950313,0.9449449449449999,0.907907907908
0.012654124636999999,0.0611881484672,0.0130228302091,0.37439895128399997,0.9813145486139999,0.0611881484672,0.0611881484672,0.022981947197799998,1.5469066155200002,0.035035035035,0.268455038313,0.31688351284,0.545545545546,0.510510510511
0.0016225166062799998,0.0352128593115,0.439178418798,0.123994546089,0.08418027125779999,0.0352128593115,0.0352128593115,3.8149950631199996,14.7476531932,0.001001001001,0.615335301135,0.740081235672,0.00900900900901,0.00800800800801
0.0173827221171,0.0793703636835,0.439093049937,0.629965463126,0.233497440362,0.0793703636835,0.0793703636835,1.94690956075,1.2853242682200001,0.026026026025999998,0.5752607500720001,0.55000008213,0.171171171171,0.145145145145
0.24693346988899997,0.021932590183799998,0.254552806294,0.048103851217,14.595988869200001,0.021932590183799998,0.021932590183799998,0.07400414953319999,10.260192637100001,0.28028028028,0.738245421408,0.495151735325,0.6076076076079999,0.32732732732700004
0.056116117380200004,0.07422580193799999,0.38661131876000004,0.5509469673340001,3.42147344117,0.07422580193799999,0.07422580193799999,0.714708791006,6.88988588234,0.0810810810811,0.611981056142,0.551210392357,0.43443443443400004,0.353353353353
0.0455509751104,0.062356817005900005,0.621264712997,0.38883726270999996,1.89639016625,0.062356817005900005,0.062356817005900005,0.6899302037999999,1.84631994187,0.0690690690691,0.646750531213,0.26419571438,0.47447447447400004,0.405405405405
0.0029276662542,0.060163979294999996,0.074797908067,0.36197044046099996,0.151262458285,0.060163979294999996,0.060163979294999996,9.842433529500001,9.63951963731,0.003003003003,0.7016041850210001,0.7465230974670001,0.013013013012999999,0.010010010009999999
0.0608442435996,0.016349840262799998,0.290075770374,0.026731727661799997,2.65863244098,0.016349840262799998,0.016349840262799998,0.21444187142499999,12.3847028746,0.06606606606610001,0.5678358350580001,0.565474508135,0.119119119119,0.0530530530531
0.0215695256458,0.0529873506668,0.27818727257,0.280765933069,9.76389695958,0.0529873506668,0.0529873506668,0.9032667754979999,82.4972942898,0.028028028028,0.637318891947,0.7251887564480001,0.126126126126,0.09809809809810001
0.00237027781127,0.0383442136994,0.7326800597609999,0.147027872423,0.413688224283,0.0383442136994,0.0383442136994,6.06740242735,66.9475957843,0.002002002002,0.753615923484,0.825642307302,0.010010010009999999,0.00800800800801
0.0686141602211,0.18777574949,0.00407771001545,3.5259732096599996,8.979452044530001,0.18777574949,0.18777574949,4.433658470369999,72.3055698533,0.0520520520521,0.466563537243,0.212790860944,0.07507507507510001,0.023023023023
0.06319897868959999,0.045469861694599996,0.715710890281,0.20675083225299998,0.08076901698469999,0.045469861694599996,0.045469861694599996,0.20498984901999998,0.32422030781800004,0.0840840840841,0.592260525622,0.595413185354,0.417417417417,0.33333333333299997
0.11111050514200001,0.04363630685219999,0.836633946754,0.19041272757,0.815285549786,0.04363630685219999,0.04363630685219999,0.32854024297,1.9781194830400002,0.13713713713700001,0.754391397898,0.634782036147,0.437437437437,0.3003003003
0.0155337825085,0.049577842367000004,0.5529698966409999,0.245796245377,2.6568122482799996,0.049577842367000004,0.049577842367000004,1.07331162229,37.7843746227,0.020020020019999998,0.6134020961869999,0.695147784701,0.09809809809810001,0.07807807807810001
0.00856967848957,0.0294616426058,0.9194170520530001,0.08679883850289999,0.029460498122400005,0.0294616426058,0.0294616426058,1.83725509118,2.4228273584299997,0.00900900900901,0.70128530173,0.619513291691,0.024024024024,0.015015015015
0.019303756193900002,0.12331856293,0.297031123505,1.52074679631,2.2054909260900004,0.12331856293,0.12331856293,0.883076199839,1.67798414359,0.043043043043,0.360043219806,0.403646269819,0.8838838838840001,0.840840840841
